"","age","male","msm","preg","LN0","LN5","LN10","LN15","LN20","LN25","LN30"
"1",2,1,0,0,0,0.00379505100799024,0.00590806722210697,0.00673656679168098,0.00706066333447832,0.00718703585160158,0.00723621321125601
"2",7,1,0,0,0,0.00379617767614065,0.0059094255291543,0.00673614623200096,0.00705850319415252,0.00718394711681643,0.0072327008113424
"3",12,1,0,0,0,0.00379458592086934,0.00590242373865716,0.00672436678481124,0.00704422263660135,0.00716853439407336,0.00721677654177741
"4",17,1,0,0,0,0.00378824323620578,0.00588658473890715,0.00670319543309214,0.00702057062187823,0.00714373564702463,0.00719143030005256
"5",22,1,0,0,0,0.00378209710158775,0.0058736129427827,0.0066865284280275,0.00700199970773365,0.00712416339184762,0.0071712334843315
"6",27,1,0,0,0,0.00377927437797336,0.00586690886967965,0.00667711445851439,0.00699085997752581,0.00711174721748908,0.00715786947887594
"7",32,1,0,0,0,0.00377666543565352,0.00586010284028416,0.00666694597446023,0.00697782544338027,0.00709643567990901,0.00714101703573262
"8",37,1,0,0,0,0.00377342081986279,0.00585101470456825,0.00665156748613133,0.00695700340262631,0.00707180586549202,0.00711412189675235
"9",42,1,0,0,0,0.00376760196838826,0.00583238497613472,0.00662021220769179,0.00691632835616367,0.00702547636468761,0.00706473467149066
"10",50,1,0,0,0,0.00374083521589209,0.00575719626261383,0.00650672105391933,0.0067792051378454,0.0068752060286356,0.00690719188922628
"11",60,1,0,0,0,0.00367179878924249,0.00558198880918315,0.00625502388229643,0.00647926769937107,0.00654680845153341,0.0065638629811999
"12",76,1,0,0,0,0.00338479307436198,0.00483225256165583,NA,NA,NA,NA
