"","age","mean","lb","ub"
"1",2,0.0819033712053581,0.0303112054940171,0.265331580874948
"2",7,0.0801667744476504,0.0298518557809696,0.25806864429737
"3",12,0.0780992639597049,0.0292957363839487,0.249522691895261
"4",17,0.0757857420572616,0.0286666674708886,0.240022073576439
"5",22,0.0733373464422499,0.0280014920425779,0.229939707419034
"6",27,0.0706862774639411,0.0272918596373729,0.218959963598311
"7",32,0.0676841816156362,0.0264931682047511,0.206543777367023
"8",37,0.0642473511049946,0.0255735623991913,0.192431530523647
"9",42,0.0603144136326407,0.0245052024271019,0.17647102489678
"10",50,0.0531075933415039,0.0225390670932922,0.147604472034408
"11",60,0.0426962291327172,0.0193106456431841,0.108469477064728
"12",76,0.0250475876986474,0.0135699597363399,0.048003895772536
