"","age","PS_mean","PS_lb","PS_ub","SS_mean","SS_lb","SS_ub","TS_notx_mean","TS_notx_lb","TS_notx_ub","TS_mean","TS_lb","TS_ub","EN_mean","EN_lb","EN_ub","LN_mean","LN_lb","LN_ub","Dead_TS_mean","Dead_TS_lb","Dead_TS_ub"
"1",2,0.000543085203261642,0.000266597816945694,0.000836747089570395,0.0103623829468343,0.00625256651751088,0.01588872937603,0.00144519440949461,0.000509024424777595,0.00225984318156904,0.17930364315516,0.0487679772670834,0.272305354111494,0.00350800293142897,0.00062428003641454,0.00730079492997514,0.00018506399246013,8.20974886206711e-05,0.000500436937935668,2.45711889323245e-05,2.79822307727206e-08,7.68521410712567e-05
"2",7,0.000543087229055527,0.000266598704983858,0.000836749121847124,0.0103629516844024,0.00625291006314827,0.0158896976047714,0.00144330159176711,0.000509065815067214,0.0022559891147604,0.174447137094927,0.047664510780705,0.265375929509103,0.0035085204486015,0.00062437280525654,0.00730182042167336,0.000184786391364566,8.19997735515982e-05,0.000499243990082701,4.34334879468176e-05,1.50994754490563e-07,0.000122320449557411
"3",12,0.000543086891238201,0.000266598556897177,0.00083674878295589,0.0103628402926591,0.00625284372906007,0.0158894970135551,0.0014386554885401,0.000508529335257888,0.00224735751142934,0.168685197111813,0.0463367636689117,0.257111449195186,0.0035082729066069,0.000624330926280974,0.0073013537286557,0.000184145771886467,8.17432904389706e-05,0.000496916669552398,7.84652788498134e-05,8.30060089921616e-07,0.000196937974886509
"4",17,0.000543079859778238,0.000266595474542245,0.0008367417289485,0.0103608299759011,0.00625163137782158,0.0158860506952891,0.00143200120225671,0.00050735557600143,0.00223560458408434,0.162239664495616,0.0448441452811948,0.247850235135681,0.00350615402964439,0.00062395474184789,0.00729720304880924,0.00018324213026691,8.13751210176595e-05,0.000493850525436491,0.000146621349231778,4.66717828331694e-06,0.000320519623272935
"5",22,0.000543071347509735,0.000266591743026921,0.000836733189178216,0.0103584172083545,0.00625017522551298,0.0158819277179342,0.00142605831125354,0.000506352721050171,0.00222513384773281,0.155349311692316,0.0432577116343826,0.237960059064141,0.00350377641279042,0.0006235304901557,0.00729252217922848,0.000182423454439986,8.10565244955253e-05,0.000490978355792846,0.000288869275759795,2.68783113422819e-05,0.000556583774540896
"6",27,0.0005430674909978,0.000266590052442933,0.000836729320134202,0.0103573263865982,0.00624951682622203,0.0158800650392629,0.00142074896248968,0.000505803018564862,0.00221533406779187,0.147775207725082,0.041516991143496,0.227074641718857,0.00350270791166783,0.000623340152289946,0.00729041748478,0.00018167012782126,8.0783057886775e-05,0.000488070976479176,0.00053036973554023,9.00943073588093e-05,0.000950296461263513
"7",32,0.000543064436607702,0.000266588713482682,0.000836726255789295,0.0103564566912806,0.00624899219344959,0.0158785761868372,0.00141367073141583,0.000505211577049018,0.0022019022937458,0.13915920518273,0.0395209386954302,0.214630081677809,0.00350181206327779,0.000623181062850516,0.00728865951547935,0.00018066256893868,8.04146611161275e-05,0.000484094423085066,0.000838637231256564,0.000189551237124473,0.00145931123565342
"8",37,0.000543060491425978,0.000266586984019134,0.000836722297707708,0.0103553347129225,0.00624831529973492,0.0158766562842756,0.00140318818360173,0.000504363256177464,0.00218167979885005,0.129345443680394,0.0372184182044165,0.20035872316613,0.00350066761439188,0.000622977704287008,0.00728641189887541,0.000179181195490568,7.98539606797935e-05,0.000478280228624753,0.00116134388719154,0.000306350186754475,0.00197717050032413
"9",42,0.000543055222940256,0.000266584674446333,0.000836717011929358,0.0103538187783921,0.00624740173815131,0.0158740506595071,0.00138660249647389,0.000502750448387828,0.00214977193979265,0.118218942842433,0.0345597983793672,0.184040086107804,0.00349896778573879,0.000622677923705523,0.00728309609745596,0.000176872827834535,7.89389760864691e-05,0.000469514198193754,0.00147192032586098,0.000437597267928685,0.00250883335704319
"10",50,0.000543026939286919,0.000266572275430637,0.00083668863400127,0.0103457356475289,0.00624252762301916,0.015860191031092,0.0013412970433989,0.000496735469581724,0.00206442179556536,0.0981078837860629,0.0296144934832612,0.154192828650737,0.00349035672149611,0.000621152496110476,0.00726623977821353,0.000170680830093602,7.6373443181801e-05,0.000447238876371973,0.00176178602365538,0.000672024007989499,0.00294209246129787
"11",60,0.000542946339301526,0.000266536940400233,0.000836607752194534,0.0103228116699741,0.00622870019244685,0.0158209403259388,0.00125077068847029,0.000482976844109974,0.00189689047429729,0.0709325902441768,0.0226934325515069,0.113179297631803,0.00346664781963274,0.000616940447507488,0.00721973472620657,0.000158433720018869,7.1143024197327e-05,0.000406149301969527,0.00112250801796094,0.000251339483586469,0.00200404396706048
"12",76,0.000542615473020755,0.000266391864940577,0.000836275525176102,0.0102291697381841,0.00617222122164647,0.0156606548420854,0.000937822918251741,0.000424210918844308,0.00139426404053763,0.0255729278545265,0.00980723443148407,0.0420527452530758,0.00336954968655509,0.000599702892512469,0.00702933943408292,0.000117290600322129,5.26276581865069e-05,0.000280594043751562,0.000462114382321759,0.000188134081769664,0.000781156716861153
