"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","LE_loss","QALY_loss"
"1",2,1,1,0,73.9199962881465,73.919996289754,73.7773714978283,73.919996289754,1.60751767452894e-09,0.142624791925655
"2",7,1,1,0,68.9882684811564,68.9882684993047,68.8545424772142,68.9882684993048,1.81483841288355e-08,0.133726022090613
"3",12,1,1,0,64.0240021145591,64.0240023193695,63.8992318799756,64.0240023193696,2.04810476134298e-07,0.12477043939402
"4",17,1,1,0,59.1347217363849,59.1347240506741,59.0187709790072,59.134724050674,2.31428914787557e-06,0.11595307166678
"5",22,1,1,0,54.4207993763827,54.420825573207,54.3133547288969,54.420825573207,2.61968242512012e-05,0.107470844310058
"6",27,1,1,0,49.8235046555971,49.8236119262197,49.7243618029193,49.8236119262197,0.000107270622628164,0.0992501233004575
"7",32,1,1,0,45.2538380014505,45.2540680813518,45.1629507324581,45.2540680813518,0.000230079901307079,0.0911173488937251
"8",37,1,1,0,40.7006139031396,40.7009714534354,40.6179525371689,40.7009714534354,0.000357550295774445,0.0830189162665391
"9",42,1,1,0,36.162961679213,36.1634415995883,36.0884953240628,36.1634415995883,0.00047992037533362,0.0749462755255266
"10",50,1,1,0,29.0683075547896,29.0690498077688,29.0066521712424,29.0690498077687,0.00074225297918673,0.0623976365263417
"11",60,1,1,0,20.9294312161261,20.9295739710551,20.8823741125077,20.9295739710551,0.000142754928958766,0.0471998585474438
"12",76,1,1,0,9.5242172120056,9.52435279288266,9.4975986702176,9.52435279288265,0.000135580877062225,0.0267541226650536
