"","age","PS","SS","EL","LL","TS_notx","TS","EN","LN","Treated","Dead_TS","Dead_other"
"1",2,0.000631888082603822,0.0113626527533259,0,0,0.0010798743862145,0.123111654227814,0.00363350104562491,0.00012703132507219,0,1.37158544474516e-06,1.49172175480772
"2",7,0.000631890347682655,0.0113632249289707,0,0,0.0010795751404742,0.120126398669811,0.00363403630519184,0.000126994809522173,0,4.12345616991166e-06,1.73835540299666
"3",12,0.000631889969970256,0.0113631203687987,0,0,0.00107757722153578,0.116552790490202,0.00363380441852356,0.000126754394308266,0,1.2396704747556e-05,2.04160862056429
"4",17,0.000631882107932953,0.0113611141906107,0,0,0.00107415057026458,0.11254383031373,0.00363165108404978,0.000126343964709854,0,3.73678585995687e-05,2.35623797790251
"5",22,0.000631872590017561,0.0113586973556745,0,0,0.00107136490492886,0.108270279922295,0.00362921348305457,0.000126012207648408,0,0.000113032098157794,2.6393731403723
"6",27,0.000631868277841274,0.0113576038273775,0,0,0.00106958911569177,0.103569575123405,0.00362812019730063,0.000125802757630533,0,0.000267638310302261,2.90007718333745
"7",32,0.00063186486254085,0.0113567345279409,0,0,0.00106744628895906,0.0981841465490846,0.00362720874415379,0.000125550517531522,0,0.000482888062770133,3.1841575635631
"8",37,0.000631860451161403,0.0113556124843181,0,0,0.00106413853337194,0.0919865165845485,0.00362604294191607,0.000125159160121704,0,0.000723099318826046,3.49791397253473
"9",42,0.000631854560059595,0.0113541044038728,0,0,0.00105801531387346,0.0848637331179628,0.0036243336187854,0.000124429852681086,0,0.000976347207217517,3.84749288292537
"10",50,0.000631822932868066,0.0113460400103242,0,0,0.00103781780838827,0.0717329733341932,0.00361561033427042,0.000122014020815687,0,0.00128735022102434,4.4009521761084
"11",60,0.000631732795263763,0.0113231316982477,0,0,0.00099362842084209,0.0535091173671503,0.00359148103769206,0.000116701940598184,0,0.000740848189105185,4.67803959556152
"12",76,0.000631362629337993,0.0112295299409945,0,0,0.00080977463318835,0.020900714595619,0.0034927715277643,9.46335868712658e-05,0,0.000358031034792981,3.39574806924806
